sample_index,reference,real_eeg,shuffled_eeg,exact_match
20,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths.,"The film is a thinly veiled look at the lives of ordinary people living in this idyllic, dreamlike life.",He was awarded the Presidential Medal of Freedom in recognition of his services to humanitarian causes.,False
21,"Arnold Alois Schwarzenegger (born July 30, 1947 in Thal, Styria, Austria) is an Austrian-American actor, Republican politician, and bodybuilder, currently serving as the 38th Governor of California.",He was a member of the left-wing Democratic Party and is currently aligned with the Federalists.,"The movie is a great example of how intolerance has the power to tear apart families, and it also offers some glimpses at our values.",False
22,"So young, so smart, such talent, such a wise ***.",The film is a work of astonishing grace and eloquence.,"He was born in San Juan, Puerto Rico to a former first lady and an American civil rights activist.",False
23,"John Drew Barrymore, also known as John Barrymore, Jr., (June 4, 1929 - November 29, 2004) was an actor, one of The Barrymores, a family of actors that included his father, John Barrymore, and his father's siblings, his uncle Lionel and his aunt Ethel.","John Fitzgerald Kennedy (May 23, 1787 - April 5, 1876) was an American politician most known for his role in the assassination of President John F. Kennedy and as Secretary to Defense under President James Monroe.",He graduated from Morehouse College with a Bachelor of Arts degree in Sociology in 1948.,False
24,He was then hired by the legal department of CBS subsidiary Columbia Records.,He was a member of the Labour Party from 1971 until 1972.,"The film is a great example of how the power of money to buy and spend their time inane, emotionally malleable objects.",False
25,"Bill ""Billy"" Boucher (b. November 10, 1899 in Ottawa, Ontario, Canada, died November 10, 1958) was a Canadian professional ice hockey rightwinger who played in the National Hockey League for the Montreal Canadiens, Boston Bruins and New York Americans.","He was born in San Juan, Puerto Rico to a former first lady and an American civil rights activist.","He was awarded the 1921 Nobel Prize for Physics, along with his explanation of ""miracle year"" and ""for his services to astronomy in 1905"".",False
26,Anemic chronicle of money grubbing New Yorkers and their serial loveless hook ups.,The movie is so bad that it almost ceases to be entertaining.,The movie is a blast of energy and the visual style are put to perfect use in an artificial creation that never quite captures its original vision.,False
27,"In between his sea voyages, Kerouac stayed in New York with friends from Fordham.","He was born in San Juan, Puerto Rico to a Cuban immigrant family.",He graduated from Harvard in 1876.,False
28,"``My god, I'm behaving like an idiot!''",A work of extraordinary courage.,He was a member of the Democratic Party and is currently aligned with the Federalists.,False
29,The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people.,The movie is as romantic and affecting as the first film's dialogue.,He was a member of the Labour Party from 1971 until 1972.,False
30,"Frank Durward White (June 4, 1933 - May 21, 2003) was the Republican governor of the U.S. state of Arkansas from 1981 to 1983.",He was a member of the Democratic Party and is currently aligned with the Federalists.,The movie is as romantic and affecting as the first film's dialogue.,False
31,These events soon led to the American Civil War.,"He married Coretta Scott on June 5, 1953.","The movie is so bad that it almost ceases to be funny, and the audience has little patience for satire.",False
32,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.","The movie is as if it were a preamble to the next day's events, only without much energy.","He graduated from high school in 1839 and enrolled at the University of Wisconsin-Madison, where he received a relatively progressive education.",False
33,"In 1983, Miguel was given a small part as a waiter in the movie The Man Who Wasn't There.","In 1894, he was elected to the United States House of Representatives as a Republican from Connecticut.","He was married to actress Lyman, and they had five children.",False
34,Bad and baffling from the get-go.,It's a great American adventure!,"The movie is as if it were a preamble to the next day's events, only without much energy.",False
35,"She later moved yet further from her Boston-based persecutors, to what is now The Bronx in northern New York City.","He was a member of the Skull and Bones society, as well as an American Nobel Laureate.","He was awarded the 1921 Nobel Prize for Physics by his explanation of ""miracle year"" and ""for his services to medical research"".",False
36,"He graduated from Princeton University in 1952, and attended Harvard University in 1954-55.",He graduated from high school in 1876 and enrolled at the University of Wisconsin-Madison.,"He was a member of the Skull and Bones society, as well as a founding member of Skull & Bones.",False
37,"On April 8, 1995 he married actress Patricia Arquette.","He was married to actress Lyman, and they had five children.","He was a member of the Skull and Bones society, as well as an occasional commentator on The Cincinnati Post.",False
38,Adams received one electoral vote in the presidential election of 1820.,He was a member of the United States Republican Party from 1876 until 1890.,He was a member of the United States Republican Party from 1876 until 1890.,True
39,This led to his being hired by Westinghouse company to service their steam engines.,"He was awarded the 1921 Nobel Prize in Chemistry for his explanation of ""miracle year"".","He was a member of the Skull and Bones society, as well as an American Nobel Laureate.",False
40,"He was elected the Natrona County High School senior class president, represented the school at Boys State, and played halfback on the football team.","He graduated from high school in 1953 and enrolled at the University of Wisconsin-Madison, where he received a relatively progressive education.",It's a great American adventure.,False
41,"Cheney grew up in Casper, Wyoming, and met his high-school sweetheart and future wife, Lynne Vincent, at age fourteen.","He was born in New York City to William and Mary Kennedy, the mother of U.S. Presidents George W. Bush and John Kerry.","He was born in Columbus, Ohio to a blacksmith and his wife Eleanor Roosevelt; he is the only son of an American lawyer who has been president of the United States from 1801 until 1901.",False
42,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.","The movie is so bad that it almost ceases to be entertaining, and the audience will probably laugh at its antics.","The movie is a blast of colorful, beautifully realized artifice that permeates the otherwise immodestly imagined worlds.",False
43,"After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.","In 1894, he joined the United States Rubber Company (based in New York City) as manager of foreign division and moved to Greenwich, Connecticut.","In 1894, he was elected to the United States House of Representatives as a Republican from Connecticut.",False
44,He was the first American to win a Nobel Prize in any category.,He was awarded the Presidential Medal of Freedom in 1876.,He was a member of the United States Marine detachments (USAAF) and later commanded an Army Tenth Mountain Division during World War II.,False
45,"The family was Jewish (non-observant); Albert attended a Catholic elementary school and, at the insistence of his mother, was given violin lessons.","He graduated from high school in 1839 and enrolled at the University of Wisconsin-Madison, where he received a relatively progressive education.",A lame romantic comedy about a man who has nothing left to prove.,False
46,His work dealt largely with the poor urban black and mulatto communities of Bahia.,"He was a founding member of the Arbusto Energy company, and later served as managing general partner (1972-1973) until his death.","He graduated from high school in 1953 and enrolled at the University of Wisconsin-Madison, where he received a relatively progressive education.",False
47,"A lousy movie that's not merely unwatchable, but also unlistenable.",It's a work of astonishing grace and force.,It's a great American adventure!,False
48,"Some say this was because of a bargain he struck with Henry Clay, which put Clay into office as his Secretary of State once Adams won.",He was a member of the United States Marine detachments (USAAF) and later commanded an Army Tenth Mountain Division during World War II.,A work of astonishing grace and extraordinary intelligence.,False
49,He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,"The film is a great American adventure, but it also has plenty of thrills.",He was awarded the Presidential Medal of Freedom in 1876.,False
50,"Albert Einstein (March 14, 1879 - April 18, 1955) was a German-born Jewish theoretical physicist of German, Swiss and American citizenship, who is widely regarded as the greatest scientist of the 20th century or even of all time, ranking alongside the luminaries Newton and Gauss.","He was born in Columbus, Ohio to a blacksmith and his wife Eleanor Roosevelt; he is the only son of an American lawyer who has been president of the United States from 1801 until 1901.","The movie is so bad that it almost ceases to be entertaining, and the audience will probably laugh at its antics.",False
51,"Hutchinson emigrated from England to Massachusetts in 1634, in response to the preacher John Cotton's doing so.","He was a member of the Skull and Bones society, as well as a founding member of Skull & Bones.",It's a work of astonishing grace and force.,False
52,"Despite his father's opposition to him having a foreign-born wife, Adams wed Louisa Johnson in 1797.","He was a member of the Skull and Bones society, having previously been head coach at Yale University.","The film is a great American adventure, but it also has plenty of thrills.",False
53,"Fans of the TV series will be disappointed, and everyone else will be slightly bored.","The movie is a blast of energy, and the visuals are grand.","He was a founding member of the Arithmometer Company, which publishes multiple intelligence methods.",False
54,He was the founder and first president of the Naval War College between 1884 and 1886.,"He was a founding member of the Arithmometer Company, which publishes multiple intelligence methods.","He was a member of the Underground Railroad, and in 1879 joined the American Expeditionary Forces (USAAF) as an observer during World War I.",False
55,"Bray is completely at sea; with nothing but a Savage Garden music video on his resume, he has no clue about making a movie.","A deeply personal and affecting film, it also has a compelling character that draws the viewer in to its subject matter.","The movie is a blast of energy, and the visuals are grand.",False
56,"Despite his father's opposition to him having a foreign-born wife, Adams wed Louisa Johnson in 1797.","He was a member of the Skull and Bones society, as well as an occasional commentator on The Cincinnati Post.","He was a member of the Skull and Bones society, having previously been head coach at Yale University.",False
57,... something appears to have been lost in the translation this time.,A lame romantic comedy about a man who has nothing left to prove.,"In 1876, he founded the Arista Records as a nonperformer with an ironman reputation.",False
58,"Dole has worked part-time for a Washington, DC, law firm, and engaged in a career of writing, consulting, public speaking, and television appearances.","He was a member of the Underground Railroad, and in 1879 joined the American Expeditionary Forces (USAAF) as an observer during World War I.","In 1894, he joined the United States Rubber Company (based in New York City) as manager of foreign division and moved to Greenwich, Connecticut.",False
59,The sort of movie that gives tastelessness a bad rap.,A work of astonishing grace and extraordinary intelligence.,He graduated from high school in 1876 and enrolled at the University of Wisconsin-Madison.,False
60,His gift of $5 million dollars helped found the Great Smoky Mountains National Park.,"In 1876, he founded the Arista Records as a nonperformer with an ironman reputation.","A deeply personal and affecting film, it also has a compelling character that draws the viewer in to its subject matter.",False
61,President Clinton awarded him the Presidential Medal of Freedom in early 1997 for his service in the military and his political career.,"He was awarded the 1921 Nobel Prize for Physics by his explanation of ""miracle year"" and ""for his services to medical research"".","He was born in New York City to William and Mary Kennedy, the mother of U.S. Presidents George W. Bush and John Kerry.",False
62,"Parker should be commended for taking a fresh approach to familiar material, but his determination to remain true to the original text leads him to adopt a somewhat mannered tone... that ultimately dulls the human tragedy at the story's core.",It's a great American adventure.,"He was a founding member of the Arbusto Energy company, and later served as managing general partner (1972-1973) until his death.",False
63,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...","The movie is a blast of colorful, beautifully realized artifice that permeates the otherwise immodestly imagined worlds.","He was awarded the 1921 Nobel Prize in Chemistry for his explanation of ""miracle year"".",False
64,"Dole has worked part-time for a Washington, DC, law firm, and engaged in a career of writing, consulting, public speaking, and television appearances.","In 1894, he joined the United States Rubber Company (based in New York City) as manager of foreign division and moved to Greenwich.","The movie is so bad that it almost ceases to be entertaining, and the audience will probably laugh at its antics.",False
65,... something appears to have been lost in the translation this time.,"It's a great film, but it is also one that should be avoided.",He won the Gold Medal of Royal Astronomical Society in 1876.,False
66,"Dole was twice decorated for heroic achievement, receiving two Purple Hearts for his injuries, and the Bronze Star Medal for his attempt to assist a downed radio man.","He was awarded the 1921 Nobel Prize for Physics by his explanation of ""miracle year"" and ""for his services to Theoretical Physics"".","It's a strange way to describe an American democracy, but it is also one of the most humane.",False
67,These events soon led to the American Civil War.,"He was married to actress Lyman, and they had five children.","The movie is a blast of colorful, beautifully realized artifice that permeates the otherwise unremarkable film.",False
68,"He graduated from Princeton University in 1952, and attended Harvard University in 1954-55.",He graduated from Morehouse College in 1876 and enrolled at the University of Wisconsin-Madison.,"He was a member of the Skull and Bones society, as well as the Skull & Bones Society.",False
69,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths.,"The movie is a blast of energy, and the visuals are breathtakingly beautiful.","He was born in St. Germain, France to a Conservative MP and his wife Elizabeth Doleman.",False
70,"Albert Einstein (March 14, 1879 - April 18, 1955) was a German-born Jewish theoretical physicist of German, Swiss and American citizenship, who is widely regarded as the greatest scientist of the 20th century or even of all time, ranking alongside the luminaries Newton and Gauss.","John Davison Rockefeller (July 30, 1887 - April 5, 1968) was an American capitalist most known for his role in the early petroleum industry and its descendants include Henry Ford Motor Company, as well as the family name.","John Winthrop (May 18, 1787 - April 4, 1676) was a British Conservative politician.",False
71,"In XXX, Diesel is that rare creature -- an action hero with table manners, and one who proves that elegance is more than tattoo deep.",The movie is so bad that it becomes a lame excuse for us to spend our time in the theater looking at other people's kids.,"He was born in Columbus, Ohio to a Jewish American civil rights activist and his wife Eleanor Roosevelt; he is the only son of U.S. Presidents to have been president at birth.",False
72,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.","The movie is a blast of energy, and the performances are so well realized that it has become fodder for all kinds of new age video.","In the fall of 1894, he was elected to a U.S. House of Representatives representing Connecticut's 3rd Congressional district and is currently the only Democrat in that office.",False
73,"On April 8, 1995 he married actress Patricia Arquette.","He married Coretta Scott on June 3, 1953.","John Davison Rockefeller (January 30, 1876 - April 5, 1963), known as John F. Kennedy or JFK Jr., was the 45th President of United States from January 1, 1961 to December 3, 1970 and a U.S. Secretary of Defense",False
74,"Rosemary, Betty, and brother, Nick, as well as her nephew, George Clooney (Nick's son), all became entertainers.","John Winthrop (born April 23, 1953 in Columbus, Ohio) is an American film director and screenwriter.","He was born in San Juan, Puerto Rico.",False
75,"In XXX, Diesel is that rare creature -- an action hero with table manners, and one who proves that elegance is more than tattoo deep.","The movie is a blast of colorful, beautifully realized artifice that permeates the otherwise unremarkable film.","He was a member of the Skull and Bones society, having been educated at Yale University.",False
76,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.,"The movie is so bad that it almost ceases to be a worthwhile spectacle, and instead becomes something more important: A lesson in the power of film.",He graduated from Morehouse College in 1876 and enrolled at the University of Wisconsin-Madison.,False
77,He was then hired by the legal department of CBS subsidiary Columbia Records.,"He was born in St. Germain, France to a Conservative MP and his wife Elizabeth Doleman.","He was awarded the 1921 Nobel Prize for Physics by his explanation of ""miracle year"" and ""for his services to Theoretical Physics"".",False
78,"His father-in-law, George Herbert Walker, and Walker's partner, Averell Harriman, brought him on as an officer in their investment banking firm, W. A. Harriman and Company in 1926.","He was born in Columbus, Ohio to a Jewish American civil rights activist and his wife Eleanor Roosevelt; he is the only son of U.S. Presidents to have been president at birth.","He married Coretta Scott on June 3, 1953.",False
79,"Viewed as a comedy, a romance, a fairy tale, or a drama, there's nothing remotely triumphant about this motion picture.","It's a strange way to describe an American democracy, but it is also one of the most humane.","It's a great film, but it is also one that should be avoided.",False
80,The second coming of Harry Potter is a film far superior to its predecessor.,"The movie is so bad that it almost ceases to be entertaining, and the audience will probably laugh at its antics.","The movie is a blast of energy, and the performances are so well realized that it has become fodder for all kinds of new age video.",False
81,"Some say this was because of a bargain he struck with Henry Clay, which put Clay into office as his Secretary of State once Adams won.",He was a member of the Executive Committee at United Nations Commission on Human Rights and later served as president of that organization.,"The film is a marvel of the power and intelligence to bring together disparate disparate viewpoints, but it also has an atonal quality that draws on both human nature and neuroscience.",False
82,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.",The movie is a blast of colorful pop music and the visual style are put to perfect use in an art form that has become so foreign that it becomes almost incomprehensible.,"In 1894, he joined the United States Rubber Company (based in New York City) as manager of foreign division and moved to Greenwich.",False
83,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.,"The film is a marvel of the power and intelligence to bring together disparate disparate viewpoints, but it also has an atonal quality that draws on both human nature and neuroscience.","He was born in San Juan, Puerto Rico to Luis Ferrer and his wife Maria Elena Ferrer (who were both of U.S. citizens at the time of their death) and had been living there since childhood.",False
84,"Bill ""Billy"" Boucher (b. November 10, 1899 in Ottawa, Ontario, Canada, died November 10, 1958) was a Canadian professional ice hockey rightwinger who played in the National Hockey League for the Montreal Canadiens, Boston Bruins and New York Americans.","John Davison Rockefeller (January 30, 1876 - April 5, 1963), known as John F. Kennedy or JFK Jr., was the 45th President of United States from January 1, 1961 to December 3, 1970 and a U.S. Secretary of Defense","John Davison Rockefeller (July 30, 1887 - April 5, 1968) was an American capitalist most known for his role in the early petroleum industry and its descendants include Henry Ford Motor Company, as well as the family name.",False
85,"Abram Joffe, a Soviet physicist who knew Einstein, in an obituary of Einstein, wrote, ""The author of [the papers of 1905] was ... a bureaucrat at the Patent Office in Bern, Einstein-Maria"" and this has recently been taken as evidence of a collaborative relationship.","He was born in San Juan, Puerto Rico to Luis Ferrer and his wife Maria Elena Ferrer (who were both of U.S. citizens at the time of their death) and had been living there since childhood.","The movie is a great American adventure, but it also has plenty of heartache.",False
86,"His employment by the General Electric company further enhanced his political image; he travelled widely as a GE spokesman, and was noted for his anti-Communist speeches.","He was a member of the Skull and Bones society, having been educated at Yale University.",A blandly unfunny and unentertaining comedy about a man who has nothing left to prove.,False
87,Distinctly sub-par... more likely to drown a viewer in boredom than to send any shivers down his spine.,"The movie is a great American adventure, but it also has plenty of heartache.",He was a member of the Executive Committee at United Nations Commission on Human Rights and later served as president of that organization.,False
88,"A loud, ugly, irritating movie without any of its satirical salvos hitting a discernible target.",A blandly unfunny and unentertaining comedy about a man who has nothing left to prove.,The movie is a blast of colorful pop music and the visual style are put to perfect use in an art form that has become so foreign that it becomes almost incomprehensible.,False
89,On 28 February 1934 he and Anthony Fokker each received an excessive half a million dollars for selling fifty military planes to the Soviet government.,"In the fall of 1894, he was elected to a U.S. House of Representatives representing Connecticut's 3rd Congressional district and is currently the only Democrat in that office.","In 1894, he joined the United States Rubber Company (based in New York City) as manager of foreign division and moved to Greenwich, Connecticut.",False
90,"After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.","In 1894, he joined the United States Rubber Company (based in New York City) as manager of foreign division and moved to Greenwich, Connecticut.","The movie is so bad that it almost ceases to be a worthwhile spectacle, and instead becomes something more important: A lesson in the power of film.",False
91,"In between his sea voyages, Kerouac stayed in New York with friends from Fordham.","He was born in San Juan, Puerto Rico.","John Winthrop (born April 23, 1953 in Columbus, Ohio) is an American film director and screenwriter.",False
92,Burroughs graduated from Harvard University in 1936.,He won the Gold Medal of Royal Astronomical Society in 1876.,"He was married to actress Lyman, and they had five children.",False
93,"In between his sea voyages, Kerouac stayed in New York with friends from Fordham.","John Winthrop (May 18, 1787 - April 4, 1676) was a British Conservative politician.","The film is a blandly unfunny and unentertaining affair, one that will only satisfy the most emotionally malleable of its subjects.",False
94,"She later moved yet further from her Boston-based persecutors, to what is now The Bronx in northern New York City.","He was a member of the Skull and Bones society, as well as the Skull & Bones Society.",The movie is so bad that it becomes a lame excuse for us to spend our time in the theater looking at other people's kids.,False
95,"Bray is completely at sea; with nothing but a Savage Garden music video on his resume, he has no clue about making a movie.","The film is a blandly unfunny and unentertaining affair, one that will only satisfy the most emotionally malleable of its subjects.","The movie is a blast of energy, and the visuals are breathtakingly beautiful.",False
96,"Dole was twice decorated for heroic achievement, receiving two Purple Hearts for his injuries, and the Bronze Star Medal for his attempt to assist a downed radio man.","In 1894, he was elected to the United States House of Representatives for a vacancy caused by the death of James Monroe.","He was awarded the 1921 Nobel Prize for Physics by his wife, Marie Louise Baels (who had been married to him since 1876), and in 1923 he received a Ph.D from Harvard University with an A.S., respectively as well as ""miracle",False
97,Exceptionally well acted by Diane Lane and Richard Gere.,"It's a great American adventure, but it also has plenty of flaws.","He married Coretta Scott on June 5, 1953.",False
98,"A lousy movie that's not merely unwatchable, but also unlistenable.","It's a great American adventure, but it also has plenty of flaws.",He was a fan of the animated television series The Simpsons and its sequels.,False
99,"On April 8, 1995 he married actress Patricia Arquette.","He married Coretta Scott on June 5, 1953.","The movie is a blast of energy and the characters are transported into an emotionally unavailable, hyperrealistic experience.",False
100,"Hodgkin and Huxley shared the prize that year with John Carew Eccles, who was cited for research on synapses.","He was born in San Juan, Puerto Rico to a U.S. engineer and his wife Maria Elena Ferrer (daughter of President George W. Bush).","He was born in New York City to William Cecil, Jr., a U.S. ambassador to France and his wife Eleanor Roosevelt; their son George H. W. Bush (daughter of President James Monroe), and grandson of Charles E.W. Bush, were",False
101,"Edric Frederick Gifford, 3rd Baron Gifford, VC (5 July 1849 - 5 June 1911) was an English recipient of the Victoria Cross, the highest and most prestigious award for gallantry in the face of the enemy that can be awarded to British and Commonwealth forces.","He was awarded the 1921 Nobel Prize for Physics by his fellow-elect Robert A. Lovett, along with a Ph.D from Harvard University in 1922.",The movie is a work of astonishing grace and eloquence.,False
102,"In between his sea voyages, Kerouac stayed in New York with friends from Fordham.","He was born in St Germain, France to a small town councilman and his wife were both of French descent.","In 1894, he was elected to the United States House of Representatives for a vacancy caused by the death of James Monroe.",False
103,"He was elected the Natrona County High School senior class president, represented the school at Boys State, and played halfback on the football team.","He was a member of the Skull and Bones society, but left active duty in 1848 to become president of that organization.","He married Coretta Scott on June 5, 1953.",False
104,"Parker should be commended for taking a fresh approach to familiar material, but his determination to remain true to the original text leads him to adopt a somewhat mannered tone... that ultimately dulls the human tragedy at the story's core.","The movie is a rambling and incoherent affair, but it's one of those rare gems that keeps you from getting too carried away in the moment -- only without realizing it.",He was educated at Marlborough College and received a Bachelor of Arts degree in Sociology.,False
105,These events soon led to the American Civil War.,"He married Coretta Scott on June 5, 1953.",He graduated from high school in 1953 and enrolled at the University of Wisconsin-Madison.,False
106,"Albert Einstein (March 14, 1879 - April 18, 1955) was a German-born Jewish theoretical physicist of German, Swiss and American citizenship, who is widely regarded as the greatest scientist of the 20th century or even of all time, ranking alongside the luminaries Newton and Gauss.","In 1879, he was honored by the U.S. Presidents as a signer of their dream republic and for his role in founding Afro-Cuban civil rights movement.","He was born in San Juan, Puerto Rico to a U.S. engineer and his wife Maria Cantina (1848-1953).",False
107,"Hodgkin and Huxley shared the prize that year with John Carew Eccles, who was cited for research on synapses.",He was a fan of the animated television series The Simpsons and its sequels.,"He was born in San Juan, Puerto Rico to a U.S. engineer and his wife Maria Elena Ferrer (daughter of President George W. Bush).",False
108,"A lousy movie that's not merely unwatchable, but also unlistenable.","It's a great American adventure, but it is also one that will only satisfy the most hardcore of viewers.",He was a member of the left-wing Democratic Party and is currently aligned with the Federalists.,False
109,He was one of the founder members of the Lunar Society.,He was educated at Marlborough College and received a Bachelor of Arts degree in Sociology.,"He married Coretta Scott on June 12, 1953.",False
110,... something appears to have been lost in the translation this time.,It's a good sign that the American Dream is alive and well.,"In 1879, he was honored by the U.S. Presidents as a signer of their dream republic and for his role in founding Afro-Cuban civil rights movement.",False
111,"Cheney grew up in Casper, Wyoming, and met his high-school sweetheart and future wife, Lynne Vincent, at age fourteen.","He was born in San Juan, Puerto Rico to a U.S. engineer and his wife Maria Cantina (1848-1953).","It's a great American adventure, but it also has plenty of flaws.",False
112,Anemic chronicle of money grubbing New Yorkers and their serial loveless hook ups.,"It's a great American adventure, but it is also one that will leave you scratching your head.","It's a great American adventure, but it also has plenty of flaws.",False
113,... something appears to have been lost in the translation this time.,The movie is a work of astonishing grace and eloquence.,"The movie is a rambling and incoherent affair, but it's one of those rare gems that keeps you from getting too carried away in the moment -- only without realizing it.",False
114,Burroughs graduated from Harvard University in 1936.,He graduated from high school in 1953 and enrolled at the University of Wisconsin-Madison.,"He was a member of the Skull and Bones society, but left in 1879 to become an apprentice machinist with the American Chemical Company.",False
115,She was the fifth of nine children.,He graduated from Morehouse College with a Bachelor of Arts degree in economics.,"He was a member of the Skull and Bones society, but left active duty in 1848 to become president of that organization.",False
116,In 1902 Geiger began to study physics and mathematics in Erlangen and later attained a doctorate in 1906.,He graduated from Morehouse College in 1876 and enrolled at the University of Wisconsin-Madison.,"The movie is a blast of colorful, beautifully realized artifice that permeates the film.",False
