sample_index,reference,real_eeg,shuffled_eeg,exact_match
17,His work dealt largely with the poor urban black and mulatto communities of Bahia.,He was educated at the University of Pennsylvania and then entered the United States.,"John Fitzgerald Kennedy (born February 12, 1953) is an American film actor.",False
18,"So young, so smart, such talent, such a wise ***.","The film's a work of art, but it's also a work.","He was elected to the House of Representatives as a member of the House representing New York, and was a member and member of Parliament for the House and the Senate from 1848 until the Senate.",False
19,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace; still, Myer's energy and the silliness of it all eventually prevail.","The film's a bit too far, and it's a little too far in, but it's still a good one, and I like it.","The film's a bit too far, and it's a little too far in, but it's still a good one, and I like it.",True
20,Burroughs graduated from Harvard University in 1936.,He graduated from Dartmouth College in 1953.,"Elliott married Margot de Otero (born April 18, 18, in St. Louis) was an American actress.",False
21,He had an elder brother named Emmet Olson.,He was educated at the University of Pennsylvania.,"The film's a bit too far into the story, but it's a good one that has a lot of depth.",False
22,"Abram Joffe, a Soviet physicist who knew Einstein, in an obituary of Einstein, wrote, ""The author of [the papers of 1905] was ... a bureaucrat at the Patent Office in Bern, Einstein-Maria"" and this has recently been taken as evidence of a collaborative relationship.","He was born in New York City in 1887, and was educated at the University of Pennsylvania, where he was a student of Charles Darwin and later as a lecturer in philosophy.","A work of a film, but it's a work of art.",False
23,"John William Coltrane (September 23, 1926 - July 17, 1967) was an American jazz saxophonist and composer.","John Fitzgerald Kennedy (born February 12, 1953) is an American film actor.",The film is a work of impeccable performances.,False
24,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace; still, Myer's energy and the silliness of it all eventually prevail.","The film's best, if it's not a masterpiece, is its title and the subject matter is a fascinating subject matter.","He was a member of the United States Army until January of 1917, and was a general contractor.",False
25,"``My god, I'm behaving like an idiot!''","A work of a film, but it's a work of art.",He was elected to the House of Representatives as a Democrat from New York City in the House.,False
26,The second coming of Harry Potter is a film far superior to its predecessor.,"The film's a work of art, but it's a bit too far.","After a year with the University of California, Los Angeles, he joined the University in 1975 and then joined the Washington University.",False
27,He was one of the founder members of the Lunar Society.,He is a member of the founding of the American Century.,"The movie's a good example of the way to a good movie, one that's both a good one, is a work of art that's a lot to say.",False
28,"Robert Henry Dee (born May 18, 1933 in Quincy, Massachusetts) is a former three-sport letterman at Holy Cross College who was one of the first players signed by the Boston Patriots in 1960.","He was elected to the House of Representatives as a member of the House representing New York, and was a member and member of Parliament for the House and the Senate from 1848 until the Senate.",The movie is a work of the kind of movie that's a little too far into the making of it.,False
29,He began to learn mathematics around age twelve.,He graduated from Dartmouth College in 1876.,"The film's best, if it's not a masterpiece, is its title and the subject matter is a fascinating subject matter.",False
30,"In XXX, Diesel is that rare creature -- an action hero with table manners, and one who proves that elegance is more than tattoo deep.",The movie is a work of the kind of movie that's a little too far into the making of it.,He graduated from Dartmouth College in 1876.,False
31,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.","The movie is a little too far beyond the original's original, but it's a lot more than that.","John Fitzgerald Kennedy (born May 18, 18, in St. John, Massachusetts) was a United States Secretary of the House of Representatives from the Senate from the Republican Party from the House representing New York.",False
32,"Frank Durward White (June 4, 1933 - May 21, 2003) was the Republican governor of the U.S. state of Arkansas from 1981 to 1983.","John Fitzgerald Kennedy (born October 5, 18, in London, England) was a British Conservative politician who was the longest serving Conservative politician.","He was born in St. Germain, New York, in 1876.",False
33,"Some say this was because of a bargain he struck with Henry Clay, which put Clay into office as his Secretary of State once Adams won.",He was elected to the House of Representatives as a Democrat and served until January of 1876.,"John Fitzgerald Kennedy (January 18, 1887 - January 23, 1924) was a United States House of Representatives from New York.",False
34,He also starred in the mini series The Stand.,"He was born in St. Germain, France, in 1876.","John Fitzgerald Kennedy (born October 5, 18, in London, England) was a British Conservative politician who was the longest serving Conservative politician.",False
35,"In between his sea voyages, Kerouac stayed in New York with friends from Fordham.",He was born in New York City in 1835 and moved to the city of St. Louis.,"John Fitzgerald Kennedy (born April 5, 18, in San Francisco) was an American novelist, journalist, and television actor.",False
36,"Bill ""Billy"" Boucher (b. November 10, 1899 in Ottawa, Ontario, Canada, died November 10, 1958) was a Canadian professional ice hockey rightwinger who played in the National Hockey League for the Montreal Canadiens, Boston Bruins and New York Americans.","John Fitzgerald Kennedy (January 30, 18, 1876 - January 30, 1970) was an American politician, and the longest serving Governor of the United States from 18, and a Republican politician, who served as the Governor of New York,",He was educated at the University of Pennsylvania and earned a Bachelor of Arts from Dartmouth College.,False
37,"Adams was born in Braintree, Massachusetts in a part of town which eventually became the separate town of Quincy.","John Fitzgerald Kennedy (January 18, 1887 - January 23, 1924) was a United States House of Representatives from New York.",The movie is a work of a movie that's so bad it's almost laughable.,False
38,"A lousy movie that's not merely unwatchable, but also unlistenable.","It's a work of art, but it's a bit too much.","It's a work of art, but it's a bit too much.",True
39,"This picture is murder by numbers, and as easy to be bored by as your ABC's, despite a few whopping shootouts.",The film's a work of the kind of movie that's both a little too far into the subject matter for its scope.,He was born in New York City in 1835 and moved to the city of St. Louis.,False
40,Exceptionally well acted by Diane Lane and Richard Gere.,The movie is a work of a movie that's so bad it's almost laughable.,"The movie is a little too long, but it's a little bit too long.",False
41,"As a girl-meets-girl romantic comedy, Kissing Jessica Steinis quirky, charming and often hilarious.","It's a good film, but it's a bit too long.","He was born in St. Germain, France, in 1876.",False
42,"Frank Durward White (June 4, 1933 - May 21, 2003) was the Republican governor of the U.S. state of Arkansas from 1981 to 1983.",He was elected to the House of Representatives as a Republican from New York.,"In 1876, he was born in New York City, and was the first of the United States, and is the son of the first wife of the late Robert A. Kennedy, who was the Secretary of Defense under George W. Bush, and his wife,",False
43,Bad and baffling from the get-go.,It's a work of art.,He was elected to the House of Representatives as a Democrat and served until January of 1876.,False
44,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.,The movie is a work of a movie that's a little too far into the characters and the acting.,He graduated from Dartmouth College in 1953 and earned a Bachelor of Arts from Dartmouth in 1953.,False
45,Then he went on to a public grammar school for three years.,"He was born in St. Germain, New York, in 1876.","He served as the United States Secretary of Defense from January 18, 1876 until January 1891.",False
46,Burroughs graduated from Harvard University in 1936.,He graduated from Dartmouth College in 1953.,The movie is a work of a movie that's so bad it's almost laughable.,False
47,"His father-in-law, George Herbert Walker, and Walker's partner, Averell Harriman, brought him on as an officer in their investment banking firm, W. A. Harriman and Company in 1926.","He was a member of the House of Representatives from 1876 until 1977 until 1977, and then a member emeritus at the University of Pennsylvania from 1977 until 1979.","He was born in St. Germain, France, in 1876.",False
48,He began to learn mathematics around age twelve.,He graduated from Dartmouth College in 1953 and earned a Bachelor of Arts from Dartmouth in 1953.,He graduated from the University of Colorado in economics from the economics department in economics.,False
49,"A loud, ugly, irritating movie without any of its satirical salvos hitting a discernible target.","The film's a work of art, but it's a little too much.",The movie is a work of a movie that's a little too far into the characters and the acting.,False
50,Adams received one electoral vote in the presidential election of 1820.,"He was born in St. Germain, France, in 1876.",He was elected to the House of Representatives as a Republican from New York.,False
51,"His grandfather, also named William Seward Burroughs, founded the Burroughs Adding Machine company, which evolved into the Burroughs Corporation.",He was educated at the University of Pennsylvania and earned a Bachelor of Arts from Dartmouth College.,"He was a member of the House of Representatives from 1876 until 1977 until 1977, and then a member emeritus at the University of Pennsylvania from 1977 until 1979.",False
52,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",The movie is a great example of the power of a movie that's a little too long.,"The film's a work of art, but it's a little too much.",False
53,"Hodgkin and Huxley shared the prize that year with John Carew Eccles, who was cited for research on synapses.",He was awarded the Oscar for Best Supporting Actress in the Best Supporting Actor in the Oscar-winning role in The Lion King.,"John Fitzgerald Kennedy (May 18, 18, 1929 - January 23, 2003) was an American politician.",False
54,"Ulysses S. Grant (April 27, 1822 - July 23, 1885) was the 18th President of the United States (1869 - 1877).","John Fitzgerald Kennedy (May 18, 18, 1929 - January 23, 2003) was an American politician.",It's a strange way to be a kid.,False
55,He was the founder and first president of the Naval War College between 1884 and 1886.,"In 1876, he founded the Standard Oil Company, and later became a founding member of the Standard Company.",He was awarded the Oscar for Best Supporting Actress in the Best Supporting Actor in the Oscar-winning role in The Lion King.,False
56,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",The movie is a work of a movie that's so bad it's almost laughable.,The movie is a great example of the power of a movie that's a little too long.,False
57,"Ulysses S. Grant (April 27, 1822 - July 23, 1885) was the 18th President of the United States (1869 - 1877).","He served as the United States Secretary of Defense from January 18, 1876 until January 1891.","He was born in St. Germain, France, in 1876 to Maria Corriere, the daughter of the late John F. Kennedy.",False
58,A strangely compelling and brilliantly acted psychological drama.,It's a strange way to be a kid.,It's a work of art.,False
59,"He graduated from Princeton University in 1952, and attended Harvard University in 1954-55.",He graduated from the University of Colorado in economics from the economics department in economics.,"John Fitzgerald Kennedy (January 30, 18, 1876 - January 30, 1970) was an American politician, and the longest serving Governor of the United States from 18, and a Republican politician, who served as the Governor of New York,",False
60,"Hutchinson emigrated from England to Massachusetts in 1634, in response to the preacher John Cotton's doing so.","He was born in St. Germain, France, in 1876 to Maria Corriere, the daughter of the late John F. Kennedy.","In 1876, he founded the Standard Oil Company, and later became a founding member of the Standard Company.",False
61,"He remained in Hollywood for the duration of the war, attaining the rank of captain.","John Fitzgerald Kennedy (born April 5, 18, in San Francisco) was an American novelist, journalist, and television actor.","It's a good film, but it's a bit too long.",False
62,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...","The movie is a little too long, but it's a little bit too long.",He graduated from Dartmouth College in 1953.,False
63,"Although Adams lost in both the popular and electoral votes in the Presidential election of 1824, none of the candidates were able to secure a majority of the electoral vote, thereby putting the outcome in the hands of the House of Representatives, which to the surprise of many elected Adams over rival Andrew Jackson.","In 1876, he was born in New York City, and was the first of the United States, and is the son of the first wife of the late Robert A. Kennedy, who was the Secretary of Defense under George W. Bush, and his wife,",The film's a work of the kind of movie that's both a little too far into the subject matter for its scope.,False
64,A strangely compelling and brilliantly acted psychological drama.,"The film's best, if it's not a masterpiece, is a work of stunning understatement.","John Fitzgerald Kennedy (May 18, 18, in San Francisco) was an American politician who was a Republican politician.",False
65,"Ulysses S. Grant (April 27, 1822 - July 23, 1885) was the 18th President of the United States (1869 - 1877).","He was born in St. George, Missouri, and was a United States Navy officer.","The movie's a bit too far into the subject matter, but it's a compelling one that's a lot more than its title implies.",False
66,He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,"He was born in St. Germain, New York, in 1835, and was educated at the University of Pennsylvania.","The film's best performances are those that feature the original's musical numbers, and the original was a cult hero of the 1960s.",False
67,"In 1983, Miguel was given a small part as a waiter in the movie The Man Who Wasn't There.","He was born in St. Germain, France, in 1887 and is the son of the late John F. Kennedy.","He married his second wife, actress Rosemary Clooney, in 1953.",False
68,"Bill ""Billy"" Boucher (b. November 10, 1899 in Ottawa, Ontario, Canada, died November 10, 1958) was a Canadian professional ice hockey rightwinger who played in the National Hockey League for the Montreal Canadiens, Boston Bruins and New York Americans.","John Fitzgerald Kennedy (May 23, 18, Dublin, Ireland) was an American film and television actor, and a former British writer, and director, and television and film director, who is best known for his role in the 1960s, and for his work as",He is a member of the United States House of Representatives from New York.,False
69,"Alain Choquart's camera barely stops moving, portraying both the turmoil of the time and giving Conduct a perpetual sense of urgency, which, for a film that takes nearly three hours to unspool, is both funny and irritating.","The movie's a good example of the way movies can be made, but it's a bit too much to be funny.","The film's best, most affecting, and most affecting is the way it's presented.",False
70,"The Emperor's Club is one of those films that possesses all the good intentions in the world, but...",It's a good film that's a little too much for me to care.,"In 18, he founded the New York City, New York, and founded the Rock and Roll Hall of Fame.",False
71,"On April 8, 1995 he married actress Patricia Arquette.",He married to actress Married to actress Laura Prep.,"He graduated from Dartmouth College in 1809 and earned a Bachelor of Arts from Dartmouth in 1953, and a Juris Doctor from Dartmouth Law School in 1953.",False
72,"As a girl-meets-girl romantic comedy, Kissing Jessica Steinis quirky, charming and often hilarious.","A work of a compelling story, but it's a work of artifice that's missing from a movie.",He was awarded the Academy Award for the Best Supporting Actress in the Best Actress in a Supporting Actress for The Godfather Part II.,False
73,"On April 8, 1995 he married actress Patricia Arquette.",He was married to actress Laura Hoyt for a year.,It's a strange way to approach a political issue.,False
74,"Lift, the mother of Danny DeVito's character in her Academy Award nominated performance in Throw Momma from the Train.","In 1876, he was awarded the Presidential Medal of Freedom from the United States in Chemistry, and received a Juris Doctor in 1953.",He was born in New York City in 1876.,False
75,"On April 8, 1995 he married actress Patricia Arquette.","He married his second wife, actress Rosemary Clooney, in 1953.","A movie with a stunning cast, this is a movie that will make you laugh.",False
76,... something appears to have been lost in the translation this time.,The movie is a work of a movie that's a bit too long.,"John Fitzgerald Kennedy (May 23, 18, Dublin, Ireland) was an American film and television actor, and a former British writer, and director, and television and film director, who is best known for his role in the 1960s, and for his work as",False
77,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace; still, Myer's energy and the silliness of it all eventually prevail.","The film's best, most affecting, and most affecting is the way it's presented.","He was born in St. Germain, New York, in 1835, and was educated at the University of Pennsylvania.",False
78,"He was elected the Natrona County High School senior class president, represented the school at Boys State, and played halfback on the football team.","He graduated from Dartmouth College in 1809 and earned a Bachelor of Arts from Dartmouth in 1953, and a Juris Doctor from Dartmouth Law School in 1953.",He was married to actress Laura Hoyt for a year.,False
79,"While it regards 1967 as the key turning point of the 20th century, and returns again and again to images of dissidents in the streets, it's alarmingly current.","The film's best performances are those that feature the original's musical numbers, and the original was a cult hero of the 1960s.","He was born in St. George, Missouri, and was a United States Navy officer.",False
80,"He remained in Hollywood for the duration of the war, attaining the rank of captain.","John Fitzgerald Kennedy (May 18, 18, in San Francisco) was an American politician who was a Republican politician.","A work of a compelling story, but it's a work of artifice that's missing from a movie.",False
81,Benjamin Everett Jordan (8 September 1896 - 15 March 1974) was a Democratic U.S. senator from the state of North Carolina between 1958 and 1973.,"John Fitzgerald Kennedy (born February 18, 18, in St. Petersburg, Florida) was a Republican politician who served as the state of California from 1975 until 1979.","A work of art, but it's a work of a movie that never quite gets made.",False
82,"His grandfather, also named William Seward Burroughs, founded the Burroughs Adding Machine company, which evolved into the Burroughs Corporation.","In 1876, he founded the company of Standard Oil, and in 1891, founded the Standard Oil Company.","The film's best, if it's not a masterpiece, is a work of stunning understatement.",False
83,... something appears to have been lost in the translation this time.,"A work of art, but it's a work of a movie that never quite gets made.","After a stint in the United States as a staff sergeant in the Army, he moved to New York City, where he became a manager of the city's public library.",False
84,"``My god, I'm behaving like an idiot!''",It's a strange way to approach a political issue.,It's a good film that's a little too much for me to care.,False
85,"Dole has worked part-time for a Washington, DC, law firm, and engaged in a career of writing, consulting, public speaking, and television appearances.","After a stint in the United States as a staff sergeant in the Army, he moved to New York City, where he became a manager of the city's public library.","It's a work of art, but it's not as good.",False
86,"A loud, ugly, irritating movie without any of its satirical salvos hitting a discernible target.","A movie with a stunning cast, this is a movie that will make you laugh.","The film's best, most depressing, most frustrating, most baffling.",False
87,The sort of movie that gives tastelessness a bad rap.,"It's a work of art, but it's not as good.","John Fitzgerald Kennedy (born February 18, 18, in St. Petersburg, Florida) was a Republican politician who served as the state of California from 1975 until 1979.",False
88,A strangely compelling and brilliantly acted psychological drama.,"The film's best, most depressing, most frustrating, most baffling.","In 1876, he founded the company of Standard Oil, and in 1891, founded the Standard Oil Company.",False
89,President Clinton awarded him the Presidential Medal of Freedom in early 1997 for his service in the military and his political career.,He was awarded the Academy Award for the Best Supporting Actress in the Best Actress in a Supporting Actress for The Godfather Part II.,"It's a work of satire, but it's not funny.",False
90,Bad and baffling from the get-go.,"It's a work of satire, but it's not funny.",The movie is a work of a movie that's a bit too long.,False
91,He was one of the founder members of the Lunar Society.,He was born in New York City in 1876.,"In 1876, he was awarded the Presidential Medal of Freedom from the United States in Chemistry, and received a Juris Doctor in 1953.",False
92,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.","The movie's a bit too far into the subject matter, but it's a compelling one that's a lot more than its title implies.","He was born in St. Germain, France, in 1887 and is the son of the late John F. Kennedy.",False
93,He was one of the founder members of the Lunar Society.,"In 18, he founded the New York City, New York, and founded the Rock and Roll Hall of Fame.","The movie is a little too long, but it's a good one.",False
94,"In between his sea voyages, Kerouac stayed in New York with friends from Fordham.",He is a member of the United States House of Representatives from New York.,He married to actress Married to actress Laura Prep.,False
95,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,"The movie is a little too long, but it's a good one.","The movie's a good example of the way movies can be made, but it's a bit too much to be funny.",False
96,He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,"He was born in St. Germain, New York, in 1876.","He was born in St. Germain, Missouri, and is a former United States Secretary of the Treasury.",False
97,"Eventually, the band settled on Chad Channing, with whom the band recorded the album Bleach, released on Sub Pop Records in 1989.","In 1876, he was commissioned to teach law at the University of California, Los Angeles.","The film is a work of the director, who has a lot to say about his career.",False
98,"His father-in-law, George Herbert Walker, and Walker's partner, Averell Harriman, brought him on as an officer in their investment banking firm, W. A. Harriman and Company in 1926.","In 1894, he became a member of the United States House of Representatives as a Democrat and then as a Republican from New York.","In 1876, he founded the New York City, New York, and founded the Standard Oil Company.",False
99,"On April 8, 1995 he married actress Patricia Arquette.",He married to actress Carrol Flynn in 1953.,He graduated from Dartmouth in 1953.,False
100,"After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.","In 1876, he founded the New York City Stock Company, and in 1876 founded the Standard Oil Company.","After a year, he joined the Army as a captain in the Army until 1974 until 1979. He then joined the rank of captain in",False
101,"So young, so smart, such talent, such a wise ***.","The film's a work of art, but it's a bit beyond me.",He was elected to the United States House of Representatives in the House of Commons in the Democratic Party.,False
102,He was one of the founder members of the Lunar Society.,He was a member of the United States House of Representatives from 1974 until 1977.,"He was born in St. Germain, New York, in 1876.",False
103,Exceptionally well acted by Diane Lane and Richard Gere.,"A work of a decent, if not a decent film.",He married to actress Carrol Flynn in 1953.,False
104,"Dole was twice decorated for heroic achievement, receiving two Purple Hearts for his injuries, and the Bronze Star Medal for his attempt to assist a downed radio man.","He was awarded the Academy Award for Physics for Physics, Physics, and Chemistry for Physics in Physics, for Physics Physics, in Physics for his work in Physics.",He graduated from the University of Illinois with a Bachelor of Arts in economics from the George Washington University in 1941 and then joined the University in 1953 until 1977.,False
105,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.","The film is a work of the director, who has a lot to say about his career.",The movie is a little too far into the movie's plot and the characters are a bit too much for me.,False
106,Adams received one electoral vote in the presidential election of 1820.,He served as the Governor of the state of New York from 1876 until his death in 1891.,"The movie is a great example of the power of the human being, and the way it manages to capture the essence of human nature in a way that it's not a movie.",False
107,"After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.","In 1876, he founded the New York City, New York, and founded the Standard Oil Company.","In 1876, he founded the New York City Stock Company, and in 1876 founded the Standard Oil Company.",False
108,"His father-in-law, George Herbert Walker, and Walker's partner, Averell Harriman, brought him on as an officer in their investment banking firm, W. A. Harriman and Company in 1926.","In 1894, he was sent to the University of California, Los Angeles, where he earned a Bachelor of Arts in economics from the University.","John Fitzgerald Kennedy (born April 5, 18, in Boston) was a United States Navy officer, and a member of the House of Representatives from 1973 until 1977.",False
109,"The family was Jewish (non-observant); Albert attended a Catholic elementary school and, at the insistence of his mother, was given violin lessons.",He graduated from the University of Illinois with a Bachelor of Arts in economics from the George Washington University in 1941 and then joined the University in 1953 until 1977.,"The film's a bit too far into the subject of the film's title, but it's a compelling one, one that has a lot of depth to it.",False
110,"Ulysses S. Grant (April 27, 1822 - July 23, 1885) was the 18th President of the United States (1869 - 1877).","He served as the Governor of the state of California from 1887 until January 18, 1989.",He served as the Governor of the state of New York from 1876 until his death in 1891.,False
111,"You come away wishing, though, that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that's at the center of the story.","The movie is a great example of the power of the human being, and the way it manages to capture the essence of human nature in a way that it's not a movie.","In 1894, he became a member of the United States House of Representatives as a Democrat and then as a Republican from New York.",False
112,The second coming of Harry Potter is a film far superior to its predecessor.,"The film's a work of stunning, if not a masterpiece, is a work.","In 1876, he was commissioned to teach law at the University of California, Los Angeles.",False
113,"Ulysses S. Grant (April 27, 1822 - July 23, 1885) was the 18th President of the United States (1869 - 1877).",He was elected to the United States House of Representatives in the House of Commons in the Democratic Party.,"He was awarded the Academy Award for Physics for Physics, Physics, and Chemistry for Physics in Physics, for Physics Physics, in Physics for his work in Physics.",False
114,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",The movie is a little too far into the movie's plot and the characters are a bit too much for me.,It's a strange way to start.,False
115,"The delicious trimmings... arrive early and stay late, filling nearly every minute... with a lighthearted glow, some impudent snickers, and a glorious dose of humankind's liberating ability to triumph over a Scrooge or two.","The movie's a bit of a comedy, it's a little too much to be funny, but it's also a good one that has a way of conceals its flaws.","A work of a decent, if not a decent film.",False
116,"After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.","In 1876, Rockefeller founded the Rockefeller Foundation, and in 1876 he founded the Standard Oil Company, and later became Standard Oil.","John Fitzgerald Kennedy (born April 18, 18, in Long Island, New York) is an American film and television actor, most known for his role in the 1960s, and for his part in the American Civil War.",False
117,Adams received one electoral vote in the presidential election of 1820.,"He was born in St. Germain, Missouri, and is a former United States Secretary of the Treasury.",The movie is a work of the film's best acting.,False
118,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.","The film's a bit too far into the subject of the film's title, but it's a compelling one, one that has a lot of depth to it.",He was elected to the House of Representatives as a member of the House.,False
119,A strangely compelling and brilliantly acted psychological drama.,It's a strange way to start.,"The movie's a bit of a comedy, it's a little too much to be funny, but it's also a good one that has a way of conceals its flaws.",False
120,"Bill ""Billy"" Boucher (b. November 10, 1899 in Ottawa, Ontario, Canada, died November 10, 1958) was a Canadian professional ice hockey rightwinger who played in the National Hockey League for the Montreal Canadiens, Boston Bruins and New York Americans.","John Fitzgerald Kennedy (born April 18, 18, in Long Island, New York) is an American film and television actor, most known for his role in the 1960s, and for his part in the American Civil War.","The film's a work of stunning, if not a masterpiece, is a work.",False
121,He began to learn mathematics around age twelve.,He graduated from Dartmouth in 1953.,"In 1876, Rockefeller founded the Rockefeller Foundation, and in 1876 he founded the Standard Oil Company, and later became Standard Oil.",False
122,He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,He was elected to the House of Representatives as a member of the House.,"In 1876, he founded the New York City company, and in 1891, was the founding of the Rockefeller family.",False
123,"Like the best of Godard's movies... it is visually ravishing, penetrating, impenetrable.",The movie is a work of the film's best acting.,"John Fitzgerald Kennedy (born January 18, 18, in St. John, Massachusetts) was a Republican politician.",False
124,He was the founder and first president of the Naval War College between 1884 and 1886.,"In 1876, he founded the New York City company, and in 1891, was the founding of the Rockefeller family.","He served as the Governor of the state of California from 1887 until January 18, 1989.",False
125,Benjamin Everett Jordan (8 September 1896 - 15 March 1974) was a Democratic U.S. senator from the state of North Carolina between 1958 and 1973.,"John Fitzgerald Kennedy (born January 18, 18, in St. John, Massachusetts) was a Republican politician.","The film's a work of art, but it's a bit beyond me.",False
126,"Dole has worked part-time for a Washington, DC, law firm, and engaged in a career of writing, consulting, public speaking, and television appearances.","After a year, he joined the Army as a captain in the Army until 1974 until 1979. He then joined the rank of captain in",He was a member of the United States House of Representatives from 1974 until 1977.,False
